report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.328942
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.445076
I2C_CLK,0,244.271118
LS_CLK,0,97.138687
OSC_CLK_IN,0,6.995575
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,3.832098
RX0_CLK,0,4.374849
RX0_OD_CLK_DIV2,0,1.337529
RX0_OD_CLK,0,1.169952
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.663561
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.178114
RX1_OD_CLK,0,1.302679
STB_CLK,0,4.376954
VS_CLK,0,97.293007
WCLK1_A_DCLK,0,12.112274
WCLK1_A_I2C,0,247.999908
async,0,0
gating,0,0
setup.rpt,0,0.178114
