report_files,lt_cbest_m40,lt_cworst_m40,lt_typical_m40,ml_cbest_125,tt_cbest_25,tt_cworst_25,tt_typical_25,wc_cbest_125,wc_cworst_125,wc_typical_125
sd_l_1p_clk_a_max,2.250798,2.228325,2.330195,2.796328,3.305711,3.295046,2.250798,6.276315,6.309876,6.265618
sd_l_1p_clk_a_min,1.730269,1.710067,1.792841,2.096472,2.521893,2.509100,1.730269,4.780194,4.799704,4.770815
sd_l_1p_a_max,2.98828,2.992075,3.05821,3.698911,4.386576,4.414897,2.98828,8.358494,8.459277,8.37048
sd_l_1p_a_min,2.635269,2.641197,2.702452,3.298904,3.86045,3.887417,2.635269,7.288616,7.427343,7.322768
sd_l_2p_l0_clk_a_max,,,,,,,,,,
sd_l_2p_l0_clk_a_min,,,,,,,,,,
sd_l_2p_l0_a_max,,,,,,,,,,
sd_l_2p_l0_a_min,,,,,,,,,,
sd_l_2p_l1_clk_a_max,,,,,,,,,,
sd_l_2p_l1_clk_a_min,,,,,,,,,,
sd_l_2p_l1_a_max,,,,,,,,,,
sd_l_2p_l1_a_min,,,,,,,,,,
sd_r_1p_clk_a_max,2.860212,2.727507,2.908074,3.683265,4.194247,4.055857,2.860212,7.996776,7.851084,7.896655
sd_r_1p_clk_a_min,2.324208,2.215703,2.370414,2.981099,3.414254,3.297356,2.324208,6.541395,6.396937,6.455675
sd_r_1p_a_max,3.805349,3.816344,3.865074,4.673757,5.509481,5.563427,3.805349,10.371018,10.552557,10.41131
sd_r_1p_a_min,3.102224,3.093285,3.151832,3.853213,4.49225,4.521397,3.102224,8.368211,8.544582,8.407698
sd_r_2p_l0_clk_a_max,,,,,,,,,,
sd_r_2p_l0_clk_a_min,,,,,,,,,,
sd_r_2p_l0_a_max,,,,,,,,,,
sd_r_2p_l0_a_min,,,,,,,,,,
sd_r_2p_l1_clk_a_max,,,,,,,,,,
sd_r_2p_l1_clk_a_min,,,,,,,,,,
sd_r_2p_l1_a_max,,,,,,,,,,
sd_r_2p_l1_a_min,,,,,,,,,,

sd_l_1p_clk_b_max,2.286008,2.265569,2.362019,2.869977,3.336144,3.349697,2.286008,6.351184,6.416240,6.357163
sd_l_1p_clk_b_min,1.709017,1.714807,1.789102,2.070560,2.509784,2.522024,1.709017,4.773726,4.826492,4.781495
sd_l_1p_b_max,3.056233,3.080382,3.134126,3.739105,4.441526,4.496166,3.056233,8.433952,8.586887,8.471102
sd_l_1p_b_min,2.598248,2.628473,2.677964,3.226691,3.821405,3.884243,2.598248,7.218296,7.412483,7.281981
sd_l_2p_l0_clk_b_max,,,,,,,,,,
sd_l_2p_l0_clk_b_min,,,,,,,,,,
sd_l_2p_l0_b_max,,,,,,,,,,
sd_l_2p_l0_b_min,,,,,,,,,,
sd_l_2p_l1_clk_b_max,,,,,,,,,,
sd_l_2p_l1_clk_b_min,,,,,,,,,,
sd_l_2p_l1_b_max,,,,,,,,,,
sd_l_2p_l1_b_min,,,,,,,,,,
sd_r_1p_clk_b_max,2.823115,2.796267,2.914358,3.615838,4.131969,4.155597,2.823115,7.958033,8.038891,7.969405
sd_r_1p_clk_b_min,2.232219,2.245506,2.340979,2.792935,3.310967,3.339505,2.232219,6.397706,6.471449,6.416215
sd_r_1p_b_max,3.55968,3.554205,3.609578,4.411869,5.149776,5.18136,3.55968,9.66168,9.821315,9.689308
sd_r_1p_b_min,3.024532,3.015679,3.069172,3.786476,4.398162,4.424447,3.024532,8.165003,8.34132,8.20236
sd_r_2p_l0_clk_b_max,,,,,,,,,,
sd_r_2p_l0_clk_b_min,,,,,,,,,,
sd_r_2p_l0_b_max,,,,,,,,,,
sd_r_2p_l0_b_min,,,,,,,,,,
sd_r_2p_l1_clk_b_max,,,,,,,,,,
sd_r_2p_l1_clk_b_min,,,,,,,,,,
sd_r_2p_l1_b_max,,,,,,,,,,
sd_r_2p_l1_b_min,,,,,,,,,,

sd_l_1p_margin_a_max : [-1:6] ,1.258011,1.282008,1.265369,1.602439,1.864683,1.905797,1.258011,3.5783,3.659573,3.599665
sd_l_1p_margin_a_min : [-1:6] ,0.384471,0.412872,0.372257,0.502576,0.554739,0.592371,0.384471,1.012301,1.117467,1.05715
sd_l_2p_l0_margin_a_max : [-1:6] ,0,0,0,0,0,0,0,0,0,0
sd_l_2p_l0_margin_a_min : [-1:6] ,0,0,0,0,0,0,0,0,0,0
sd_l_2p_l1_margin_a_max : [-1:6] ,0,0,0,0,0,0,0,0,0,0
