PORT	FIRST_CELL_TYPE	FIRST_CELL_INSTANCE	STATUS
dout_lane_L0[8]	CLKBUFX8AS9	C_25__IOBUF	MULTI_LOAD(2)
dout_lane_L0[9]	APR_CDM	APR_CDM_24	MULTI_LOAD(2)
dout_lane_L0[9]	CLKBUFX8AS9	C_24__IOBUF	MULTI_LOAD(2)
dout_lane_L1[0]	APR_CDM	APR_CDM_51	MULTI_LOAD(2)
dout_lane_L1[0]	CLKBUFX8AS9	C_51__IOBUF	MULTI_LOAD(2)
dout_lane_L1[10]	APR_CDM	APR_CDM_41	MULTI_LOAD(2)
dout_lane_L1[10]	CLKBUFX8AS9	C_41__IOBUF	MULTI_LOAD(2)
dout_lane_L1[11]	APR_CDM	APR_CDM_40	MULTI_LOAD(2)
dout_lane_L1[11]	CLKBUFX8AS9	C_40__IOBUF	MULTI_LOAD(2)
dout_lane_L1[12]	APR_CDM	APR_CDM_39	MULTI_LOAD(2)
dout_lane_L1[12]	CLKBUFX8AS9	C_39__IOBUF	MULTI_LOAD(2)
dout_lane_L1[13]	APR_CDM	APR_CDM_38	MULTI_LOAD(2)
dout_lane_L1[13]	CLKBUFX8AS9	C_38__IOBUF	MULTI_LOAD(2)
dout_lane_L1[14]	APR_CDM	APR_CDM_37	MULTI_LOAD(2)
dout_lane_L1[14]	CLKBUFX8AS9	C_37__IOBUF	MULTI_LOAD(2)
dout_lane_L1[15]	APR_CDM	APR_CDM_36	MULTI_LOAD(2)
dout_lane_L1[15]	CLKBUFX8AS9	C_36__IOBUF	MULTI_LOAD(2)
dout_lane_L1[16]	APR_CDM	APR_CDM_35	MULTI_LOAD(2)
dout_lane_L1[16]	CLKBUFX8AS9	C_35__IOBUF	MULTI_LOAD(2)
dout_lane_L1[17]	APR_CDM	APR_CDM_34	MULTI_LOAD(2)
dout_lane_L1[17]	CLKBUFX8AS9	C_34__IOBUF	MULTI_LOAD(2)
dout_lane_L1[1]	APR_CDM	APR_CDM_50	MULTI_LOAD(2)
dout_lane_L1[1]	CLKBUFX8AS9	C_50__IOBUF	MULTI_LOAD(2)
dout_lane_L1[2]	APR_CDM	APR_CDM_49	MULTI_LOAD(2)
dout_lane_L1[2]	CLKBUFX8AS9	C_49__IOBUF	MULTI_LOAD(2)
dout_lane_L1[3]	APR_CDM	APR_CDM_48	MULTI_LOAD(2)
dout_lane_L1[3]	CLKBUFX8AS9	C_48__IOBUF	MULTI_LOAD(2)
dout_lane_L1[4]	APR_CDM	APR_CDM_47	MULTI_LOAD(2)
dout_lane_L1[4]	CLKBUFX8AS9	C_47__IOBUF	MULTI_LOAD(2)
dout_lane_L1[5]	APR_CDM	APR_CDM_46	MULTI_LOAD(2)
dout_lane_L1[5]	CLKBUFX8AS9	C_46__IOBUF	MULTI_LOAD(2)
dout_lane_L1[6]	APR_CDM	APR_CDM_45	MULTI_LOAD(2)
dout_lane_L1[6]	CLKBUFX8AS9	C_45__IOBUF	MULTI_LOAD(2)
dout_lane_L1[7]	APR_CDM	APR_CDM_44	MULTI_LOAD(2)
dout_lane_L1[7]	CLKBUFX8AS9	C_44__IOBUF	MULTI_LOAD(2)
dout_lane_L1[8]	APR_CDM	APR_CDM_43	MULTI_LOAD(2)
dout_lane_L1[8]	CLKBUFX8AS9	C_43__IOBUF	MULTI_LOAD(2)
dout_lane_L1[9]	APR_CDM	APR_CDM_42	MULTI_LOAD(2)
dout_lane_L1[9]	CLKBUFX8AS9	C_42__IOBUF	MULTI_LOAD(2)
