PORT	LAST_CELL_TYPE	LAST_CELL_INSTANCE	STATUS
reg_ana_test_sel_L1[2]	CLKBUFX8AS9	C_457__IOBUF	OK
reg_ana_test_sel_L1[3]	CLKBUFX8AS9	C_456__IOBUF	OK
reg_cdr_icp_L0[0]	CLKBUFX8AS9	C_463__IOBUF	OK
reg_cdr_icp_L0[1]	CLKBUFX8AS9	C_462__IOBUF	OK
reg_cdr_icp_L0[2]	CLKBUFX8AS9	C_461__IOBUF	OK
reg_cdr_icp_L0[3]	CLKBUFX8AS9	C_460__IOBUF	OK
reg_cdr_icp_L1[0]	CLKBUFX8AS9	C_467__IOBUF	OK
reg_cdr_icp_L1[1]	CLKBUFX8AS9	C_466__IOBUF	OK
reg_cdr_icp_L1[2]	CLKBUFX8AS9	C_465__IOBUF	OK
reg_cdr_icp_L1[3]	CLKBUFX8AS9	C_464__IOBUF	OK
reg_cdr_rlpf_L0[0]	CLKBUFX8AS9	C_471__IOBUF	OK
reg_cdr_rlpf_L0[1]	CLKBUFX8AS9	C_470__IOBUF	OK
reg_cdr_rlpf_L0[2]	CLKBUFX8AS9	C_469__IOBUF	OK
reg_cdr_rlpf_L0[3]	CLKBUFX8AS9	C_468__IOBUF	OK
reg_cdr_rlpf_L1[0]	CLKBUFX8AS9	C_475__IOBUF	OK
reg_cdr_rlpf_L1[1]	CLKBUFX8AS9	C_474__IOBUF	OK
reg_cdr_rlpf_L1[2]	CLKBUFX8AS9	C_473__IOBUF	OK
reg_cdr_rlpf_L1[3]	CLKBUFX8AS9	C_472__IOBUF	OK
reg_cr_done_cnt_L0[0]	CLKBUFX8AS9	C_481__IOBUF	OK
reg_cr_done_cnt_L0[1]	CLKBUFX8AS9	C_480__IOBUF	OK
reg_cr_done_cnt_L0[2]	CLKBUFX8AS9	C_479__IOBUF	OK
reg_cr_done_cnt_L0[3]	CLKBUFX8AS9	C_478__IOBUF	OK
reg_cr_done_cnt_L0[4]	CLKBUFX8AS9	C_477__IOBUF	OK
reg_cr_done_cnt_L0[5]	CLKBUFX8AS9	C_476__IOBUF	OK
reg_cr_done_cnt_L1[0]	CLKBUFX8AS9	C_487__IOBUF	OK
reg_cr_done_cnt_L1[1]	CLKBUFX8AS9	C_486__IOBUF	OK
reg_cr_done_cnt_L1[2]	CLKBUFX8AS9	C_485__IOBUF	OK
reg_cr_done_cnt_L1[3]	CLKBUFX8AS9	C_484__IOBUF	OK
reg_cr_done_cnt_L1[4]	CLKBUFX8AS9	C_483__IOBUF	OK
reg_cr_done_cnt_L1[5]	CLKBUFX8AS9	C_482__IOBUF	OK
reg_eq_rbc0_L0	CLKBUFX8AS9	C_248__IOBUF	OK
reg_eq_rbc0_L1	CLKBUFX8AS9	C_258__IOBUF	OK
reg_eq_rbc1_L0	CLKBUFX8AS9	C_249__IOBUF	OK
reg_eq_rbc1_L1	CLKBUFX8AS9	C_259__IOBUF	OK
reg_fast_lock_icp_L0[0]	CLKBUFX8AS9	C_491__IOBUF	OK
reg_fast_lock_icp_L0[1]	CLKBUFX8AS9	C_490__IOBUF	OK
reg_fast_lock_icp_L0[2]	CLKBUFX8AS9	C_489__IOBUF	OK
reg_fast_lock_icp_L0[3]	CLKBUFX8AS9	C_488__IOBUF	OK
reg_fast_lock_icp_L1[0]	CLKBUFX8AS9	C_495__IOBUF	OK
reg_fast_lock_icp_L1[1]	CLKBUFX8AS9	C_494__IOBUF	OK
reg_fast_lock_icp_L1[2]	CLKBUFX8AS9	C_493__IOBUF	OK
reg_fast_lock_icp_L1[3]	CLKBUFX8AS9	C_492__IOBUF	OK
reg_fast_lock_rlpf_L0[0]	CLKBUFX8AS9	C_499__IOBUF	OK
reg_fast_lock_rlpf_L0[1]	CLKBUFX8AS9	C_498__IOBUF	OK
reg_fast_lock_rlpf_L0[2]	CLKBUFX8AS9	C_497__IOBUF	OK
reg_fast_lock_rlpf_L0[3]	CLKBUFX8AS9	C_496__IOBUF	OK
reg_fast_lock_rlpf_L1[0]	CLKBUFX8AS9	C_503__IOBUF	OK
reg_fast_lock_rlpf_L1[1]	CLKBUFX8AS9	C_502__IOBUF	OK
reg_fast_lock_rlpf_L1[2]	CLKBUFX8AS9	C_501__IOBUF	OK
reg_fast_lock_rlpf_L1[3]	CLKBUFX8AS9	C_500__IOBUF	OK
reg_icp_bias_tune_L0[0]	CLKBUFX8AS9	C_506__IOBUF	OK
reg_icp_bias_tune_L0[1]	CLKBUFX8AS9	C_505__IOBUF	OK
reg_icp_bias_tune_L0[2]	CLKBUFX8AS9	C_504__IOBUF	OK
reg_icp_bias_tune_L1[0]	CLKBUFX8AS9	C_509__IOBUF	OK
reg_icp_bias_tune_L1[1]	CLKBUFX8AS9	C_508__IOBUF	OK
reg_icp_bias_tune_L1[2]	CLKBUFX8AS9	C_507__IOBUF	OK
reg_kvco_ctrl_L0[0]	CLKBUFX8AS9	C_513__IOBUF	OK
reg_kvco_ctrl_L0[1]	CLKBUFX8AS9	C_512__IOBUF	OK
reg_kvco_ctrl_L0[2]	CLKBUFX8AS9	C_511__IOBUF	OK
reg_kvco_ctrl_L0[3]	CLKBUFX8AS9	C_510__IOBUF	OK
reg_kvco_ctrl_L1[0]	CLKBUFX8AS9	C_517__IOBUF	OK
reg_kvco_ctrl_L1[1]	CLKBUFX8AS9	C_516__IOBUF	OK
reg_kvco_ctrl_L1[2]	CLKBUFX8AS9	C_515__IOBUF	OK
reg_kvco_ctrl_L1[3]	CLKBUFX8AS9	C_514__IOBUF	OK
reg_lane_ck_inv_en_L0	CLKBUFX8AS9	C_518__IOBUF	OK
reg_lane_ck_inv_en_L1	CLKBUFX8AS9	C_519__IOBUF	OK
reg_lane_ctrl_L0[0]	CLKBUFX8AS9	C_521__IOBUF	OK
reg_lane_ctrl_L0[1]	CLKBUFX8AS9	C_520__IOBUF	OK
reg_lane_ctrl_L1[0]	CLKBUFX8AS9	C_523__IOBUF	OK
reg_lane_ctrl_L1[1]	CLKBUFX8AS9	C_522__IOBUF	OK
reg_lane_osr_L0	CLKBUFX8AS9	C_247__IOBUF	OK
reg_lane_osr_L1	CLKBUFX8AS9	C_257__IOBUF	OK
reg_lane_pd_L0	CLKBUFX8AS9	C_524__IOBUF	OK
reg_lane_pd_L1	-	-	NO_DRIVER_CELL
reg_vos_cancel_en_L0	CLKBUFX8AS9	C_246__IOBUF	OK
reg_vos_cancel_en_L1	CLKBUFX8AS9	C_256__IOBUF	OK
reg_vos_ctrl_L0[0]	CLKBUFX8AS9	C_245__IOBUF	OK
reg_vos_ctrl_L0[1]	CLKBUFX8AS9	C_244__IOBUF	OK
reg_vos_ctrl_L0[2]	CLKBUFX8AS9	C_243__IOBUF	OK
reg_vos_ctrl_L0[3]	CLKBUFX8AS9	C_242__IOBUF	OK
reg_vos_ctrl_L0[4]	CLKBUFX8AS9	C_241__IOBUF	OK
reg_vos_ctrl_L0[5]	CLKBUFX8AS9	C_240__IOBUF	OK
reg_vos_ctrl_L1[0]	CLKBUFX8AS9	C_255__IOBUF	OK
reg_vos_ctrl_L1[1]	CLKBUFX8AS9	C_254__IOBUF	OK
reg_vos_ctrl_L1[2]	CLKBUFX8AS9	C_253__IOBUF	OK
reg_vos_ctrl_L1[3]	CLKBUFX8AS9	C_252__IOBUF	OK
reg_vos_ctrl_L1[4]	CLKBUFX8AS9	C_251__IOBUF	OK
reg_vos_ctrl_L1[5]	CLKBUFX8AS9	C_250__IOBUF	OK
rstn_async_L0	CLKBUFX8AS9	C_526__IOBUF	OK
rstn_async_L1	CLKBUFX8AS9	C_527__IOBUF	OK
