PORT	LAST_CELL_TYPE	LAST_CELL_INSTANCE	STATUS
DBR3[0]	CLKBUFX8AS9	C_339__IOBUF	OK
DBR3[1]	CLKBUFX8AS9	C_338__IOBUF	OK
DBR3[2]	CLKBUFX8AS9	C_337__IOBUF	OK
DBR3[3]	CLKBUFX8AS9	C_336__IOBUF	OK
DBR3[4]	CLKBUFX8AS9	C_335__IOBUF	OK
DBR3[5]	CLKBUFX8AS9	C_334__IOBUF	OK
DBR3[6]	CLKBUFX8AS9	C_333__IOBUF	OK
DBR3[7]	CLKBUFX8AS9	C_332__IOBUF	OK
DBR4[0]	CLKBUFX8AS9	C_347__IOBUF	OK
DBR4[1]	CLKBUFX8AS9	C_346__IOBUF	OK
DBR4[2]	CLKBUFX8AS9	C_345__IOBUF	OK
DBR4[3]	CLKBUFX8AS9	C_344__IOBUF	OK
DBR4[4]	CLKBUFX8AS9	C_343__IOBUF	OK
DBR4[5]	CLKBUFX8AS9	C_342__IOBUF	OK
DBR4[6]	CLKBUFX8AS9	C_341__IOBUF	OK
DBR4[7]	CLKBUFX8AS9	C_340__IOBUF	OK
DBR5[0]	CLKBUFX8AS9	C_355__IOBUF	OK
DBR5[1]	CLKBUFX8AS9	C_354__IOBUF	OK
DBR5[2]	CLKBUFX8AS9	C_353__IOBUF	OK
DBR5[3]	CLKBUFX8AS9	C_352__IOBUF	OK
DBR5[4]	CLKBUFX8AS9	C_351__IOBUF	OK
DBR5[5]	CLKBUFX8AS9	C_350__IOBUF	OK
DBR5[6]	CLKBUFX8AS9	C_349__IOBUF	OK
DBR5[7]	CLKBUFX8AS9	C_348__IOBUF	OK
DCBIAS_CHOP[0]	CLKBUFX8AS9	C_359__IOBUF	OK
DCBIAS_CHOP[1]	CLKBUFX8AS9	C_358__IOBUF	OK
DCBIAS_CHOP[2]	CLKBUFX8AS9	C_357__IOBUF	OK
DCBIAS_CHOP[3]	CLKBUFX8AS9	C_356__IOBUF	OK
DCBIAS_TOT[0]	CLKBUFX8AS9	C_361__IOBUF	OK
DCBIAS_TOT[1]	CLKBUFX8AS9	C_360__IOBUF	OK
DC_MON_SEL[0]	CLKBUFX8AS9	C_363__IOBUF	OK
DC_MON_SEL[1]	CLKBUFX8AS9	C_362__IOBUF	OK
DRA_CHOP	CLKBUFX8AS9	C_364__IOBUF	OK
DRA_CS	CLKBUFX8AS9	C_365__IOBUF	OK
DTESTO_IN	CLKBUFX8AS9	C_447__IOBUF	OK
ENL_GAP1	CLKBUFX8AS9	C_366__IOBUF	OK
ENL_GAP2	CLKBUFX8AS9	C_368__IOBUF	OK
ENR_GAP1	CLKBUFX8AS9	C_367__IOBUF	OK
ENR_GAP2	CLKBUFX8AS9	C_369__IOBUF	OK
FSHIFT_L	CLKBUFX8AS9	C_370__IOBUF	OK
FSHIFT_R	CLKBUFX8AS9	C_371__IOBUF	OK
GCHOP_1ST	CLKBUFX8AS9	C_372__IOBUF	OK
GCHOP_2ND	CLKBUFX8AS9	C_373__IOBUF	OK
H120V	CLKBUFX8AS9	C_52__IOBUF	OK
