report_files,wc_cworst_125,wc_cbest_125,wc_typical_125,lt_cworst_m40,lt_cbest_m40,lt_typical_m40,ml_cbest_125,tt_cworst_25,tt_cbest_25,tt_typical_25
report_timing_io_max.rpt,243.075455,242.912186,243.019836,245.533890,245.374496,245.449188,244.830002,244.859573,244.704681,244.796265
report_timing_io_min.rpt,251.191284,251.323792,251.232132,249.735001,249.848236,249.777100,250.158585,250.138016,250.259293,250.180588
report_timing_rx0_00_max.rpt,1.885235,2.264082,2.016596,0.776845,1.038741,0.868023,1.413935,1.103714,1.397928,1.207420
report_timing_rx0_00_min.rpt,7.226826,6.770715,7.047553,8.570858,8.257418,8.394151,7.776056,8.190110,7.836975,8.055873
report_timing_rx1_00_max.rpt,0.060658,0.218743,0.136698,0.076226,0.157280,0.115263,0.227087,0.095341,0.197591,0.144598
report_timing_rx1_00_min.rpt,16.391243,16.254261,16.329821,16.808699,16.721596,16.749001,16.568754,16.688948,16.588314,16.645193
