report_files,lt_cbest_m40,lt_cworst_m40,lt_typical_m40,ml_cbest_125,tt_cbest_25,tt_cworst_25,tt_typical_25,wc_cbest_125,wc_cworst_125,wc_typical_125
report_timing_io_max.rpt,245.158844,245.148376,245.138123,244.706192,244.296097,244.255844,245.158844,241.869659,241.741440,241.818649
report_timing_io_min.rpt,249.967804,249.952820,249.944626,250.226898,250.483490,250.484070,249.967804,251.954758,251.998322,251.947739
report_timing_rx0_00_max.rpt,1.059839,0.914585,0.968515,1.368010,1.511084,1.341043,1.059839,2.691239,2.489067,2.557640
report_timing_rx0_00_min.rpt,8.859473,9.014695,8.900367,8.499709,8.358233,8.540135,8.859473,7.026145,7.237304,7.161102
report_timing_sd_l_1p_clk_a.rpt,11.753016,11.774106,11.673553,11.208043,10.699410,10.709766,11.753016,7.732434,7.698337,7.742854
report_timing_sd_l_1p_clk_b.rpt,12.044453,12.040365,11.959420,11.579613,11.146633,11.121553,12.044453,8.569712,8.493787,8.556996
report_timing_sd_r_1p_clk_a.rpt,11.143603,11.274935,11.095655,10.321035,9.810845,9.948941,11.143603,6.011968,6.157132,6.111814
report_timing_sd_r_1p_clk_b.rpt,11.507359,11.494213,11.390495,10.833773,10.326361,10.294800,11.507359,6.915643,6.825916,6.899777
